text,actual,predicted,error_type
 aww... sorry for both of you.  May the LORD give you strength and rest today!,neutral,negative,neutral -> negative
"Fyi- putting makeup on under flourescents = FAIL. ... oh face-peely, why must you look so hideous? Also, wheres my lipstick?",negative,neutral,negative -> neutral
 ......when I find chays keys  im gonna clean my room up tomorrow. They`ll pop up,neutral,negative,neutral -> negative
2pm today is Quiz Time at the Goat! Game shows to play and prizes to be won! Plus `Toss Off Tommy` for free drinks! Today from 2! x,positive,neutral,positive -> neutral
Home with Maddie  I`m tired.. Goin` to bed afterwards,negative,neutral,negative -> neutral
looking at tabs for all of the 'Boys Like Girls' songs,neutral,positive,neutral -> positive
 Heh... I send dem when I get dem Jen... I was shocked I found so many these last few days... earlier in the week nothing...,negative,neutral,negative -> neutral
 http://twitpic.com/4vw9a - lol wow I`m watching X-men: The last Stand right now too,neutral,positive,neutral -> positive
 don`t be worried! I`m safe and sound!  <3 you!,positive,negative,positive -> negative
" Hahahaha! I didn`t know it said that, sheeeeittt! I don`t get why I can`t have a picture... bwaaaahhh",negative,neutral,negative -> neutral
I`m packed up & leaving my Canterbury office & my fab QA&V colleagues for the last time   A great bunch of people. I will miss you ****,neutral,negative,neutral -> negative
Sometimes I wish I was a warden,neutral,positive,neutral -> positive
" talk to me isn`t a good idea?  i`m going to buy a gift to my friend, so you have 20 mins...",neutral,positive,neutral -> positive
In KL now took wrong turn after Sg Besi now jam in city center,neutral,negative,neutral -> negative
"its from all that **** ****, i forgot the lube. ****  may need to go to the E.R.",neutral,negative,neutral -> negative
"Getting some DMs asking where I fell off to the past few days  I was sick, but am all better now. I appreciate the concern! Game On!",positive,neutral,positive -> neutral
Today is 777 days until LeakyCon 2011. Awesome number but I wish it wasn`t so far away,positive,neutral,positive -> neutral
"i want to go out tonight, but i ain`t go no money and no one to go with   any takers???",negative,neutral,negative -> neutral
i no i no bt i had only been a gamer for like 2 years when i made that attempt  lol yea i luvd F1 to an extent ,positive,neutral,positive -> neutral
 Oh cool! When is Alpha 1.18 coming out? Auto-connect was the feature I wanted to request,positive,neutral,positive -> neutral
  sowwy. Lover you,positive,neutral,positive -> neutral
" pleaase dont start dating her, that would suck, then disney kids would listen to ftsk. thanks",neutral,positive,neutral -> positive
"  i used to live by the ocean, i shoulda gone to the beach more often",neutral,positive,neutral -> positive
I loved johnny carson now I`m going to hate seeing jay leno go  (via ) that`s what I was waiting for someone to say!,neutral,negative,neutral -> negative
"I`m uploading some videos to youtube, will give link once I get more loaded. Variety from my daily life, not amazing but fun to watch",neutral,positive,neutral -> positive
 i thought you would win!  Fabulously40 have some bots on her side?,negative,neutral,negative -> neutral
" Oh, don`t spoil my fun, lol",negative,positive,negative -> positive
is on twitter for the second day running. This is what study leave does to me! If only my car were in one piece,negative,neutral,negative -> neutral
Took a long nap...I feel like I should still be asleep,neutral,negative,neutral -> negative
"JONAS is awesome! I just watched Groovy Movies  Frankie,, was weird lol",neutral,positive,neutral -> positive
 stinks  what do you do anyway?,negative,neutral,negative -> neutral
"_J i soo dont wanna work tmrw!  ...only on a half day tho so hopefully the sun will stay out for me! Gonna go get showered, tweet l8rs",positive,neutral,positive -> neutral
Sadness  The top horde guild that I liked disbanded.,negative,positive,negative -> positive
Attending Matthew`s Senior Day for recognition and I`m so not ready for this.,neutral,negative,neutral -> negative
White House?  This thing`s a lifesaver: http://snipurl.com/hkuj9,positive,neutral,positive -> neutral
is going out for dinner... just the two of us... niceeeee,positive,neutral,positive -> neutral
 aww what kind of dog do u have? I have a chihuahua named Zoey,positive,neutral,positive -> neutral
Was eating a manderin. But it`s all gone now!,negative,neutral,negative -> neutral
So glad the days almost over... Another nite of me nd my pain pills alone at the crib lol. Ughh I wish this weekend was over alreadi!,negative,positive,negative -> positive
 Or he`s gonna chop you up into tiny bits - one of the two,negative,neutral,negative -> neutral
Oh thank god!  so sad that I`m this happy.,neutral,negative,neutral -> negative
_ listen to FTSK  they stop my bordum  haha how was your day? finished crying about Harold? ha ****,negative,neutral,negative -> neutral
13 hours til i`m on a plane. Ahhh yay,positive,neutral,positive -> neutral
Very content with my life at the moment,neutral,positive,neutral -> positive
No more high school...,neutral,negative,neutral -> negative
" http://79.170.44.101/buma.ro/ temporary address not working either, m8. They must have done something to the domain",neutral,negative,neutral -> negative
Wow... my god the whole UI is sooo much snappier. It`s more responsive than TweetDeck now!  Tweets feel like IMs lol,neutral,positive,neutral -> positive
" yeah, it`s a bit 80s silly at points but i love it",neutral,positive,neutral -> positive
Have just bought a TV tuner for my laptop.  He he.  I deserve a present,positive,neutral,positive -> neutral
_WOCKEEZ I wanna go! But I won`t be there  I`m sure that the show will be great!!,positive,neutral,positive -> neutral
_PopuLarEnt awww boog u aint been on in a min....hey to ya.  but that`s whats up enjoy ya`ll selves especially your lil cousin.,positive,neutral,positive -> neutral
awwww..I love him! His car was soooo CUTE tonight!! I love me some Carl..My 10yr old is sad now..LOL..,neutral,positive,neutral -> positive
" Sorry your day was so bad   Gettin the drink on, good plan!",neutral,negative,neutral -> negative
Memorizing the first 18 lines of the General Prologue of The Canterbury Tales. Ughhh.,neutral,negative,neutral -> negative
 Welcome back!,neutral,positive,neutral -> positive
"cower failure: when you mean to comply, but stand up for yourself instead",negative,neutral,negative -> neutral
Going to bed. Talk to ya later!  goodnight birdies LOL,positive,neutral,positive -> neutral
 and to you too!!!!,neutral,positive,neutral -> positive
Had a nice dinner with the hubby and now on our way home  45 min drive out of the city. *sigh*,positive,neutral,positive -> neutral
I`m so glad my concert is still a week away...I`m getting so sick and I need the time to recover!! My lungs hurt so bad right now,neutral,negative,neutral -> negative
#3wordsaftersex goodbye innocence!!!,positive,neutral,positive -> neutral
 I think is The parent trap & High school musical!!,neutral,negative,neutral -> negative
"Want: Trip to Boston next month. Need: Addit`l motivation to save the $ to do so.  Beloved daughter wants to go with, which = 2x the $.",positive,neutral,positive -> neutral
 I realised when I got home that I left mine in your fridge - you`re welcome to have it if you like.,positive,neutral,positive -> neutral
greeeeeeeeeeeat  this summer i have four classes...if you know me...u know why,positive,neutral,positive -> neutral
Sometimes I wish I had my own Prototype mentor.,neutral,negative,neutral -> negative
"seriously underrated.. `porridge`, the best breakfast in the world... ever. doesn`t need to be gloopy, as long as it is made just right",neutral,positive,neutral -> positive
" it`s the small things in life that count, like being on a blur photograph of google streetview..  keep following !!!",positive,neutral,positive -> neutral
 I`ve missed one this year(!). It`s the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.,negative,neutral,negative -> neutral
"I don`t have MTV,. What am I going to DO?!! fmlllll",negative,neutral,negative -> neutral
 I actually meant to type 'end of September' but I was in the middle of a conversation with someone and I cant multitask,neutral,negative,neutral -> negative
"_shantz heyy shantell!  twitter is cool, thats why! and guess what!! i followed britney spears, and she followed me back!",positive,neutral,positive -> neutral
" dude, I can safely say I was blown away when I heard Attics. I`ll make sure I pass it on as much as I can!",positive,neutral,positive -> neutral
I`ve lost my pocket knife  Suggestions for replacing a Ken Onion Chive?,neutral,negative,neutral -> negative
 That version is not compatible with Vista.,neutral,negative,neutral -> negative
 phone updated and she`s got a camcorder on her phone now--mine hasn`t updated chit  that ain`t fair .,neutral,negative,neutral -> negative
Just spent the evening at a gala for her high school drama company`s 20th anniversary. Lots of memories,positive,neutral,positive -> neutral
has two tickets to Amadou and Miriam for Tue. June 2 that I can`t use  $25 each to anyone who wants `em. That`s face value. Should be good,positive,neutral,positive -> neutral
_Music I was not hugged,negative,neutral,negative -> neutral
Hope I get a job cuz we need an apartment. I`m drunk & miss my lil punkin  TEHE!!!,neutral,negative,neutral -> negative
 oh ok cool will get back to you on that,neutral,positive,neutral -> positive
I thought when u go #2 your tummy is supposed to feel better not worse,neutral,negative,neutral -> negative
  no one told me the mutual admiration society was meeting this morning! LOL  Hi boys!,negative,neutral,negative -> neutral
Another interview... Please somebody hire me?! But I`m late,negative,neutral,negative -> neutral
"$900 cheque to cash tomorrow, why I didn`t get it in the bank I have no idea. Feel safe to get the 500D now though  woooo",positive,neutral,positive -> neutral
 just answered you- never learned how to write in French- just basic stuff-,negative,neutral,negative -> neutral
Sunburnt  Gutted! Hope it`s faded by tmw!,negative,positive,negative -> positive
 He`s my boxing trainer. Although I think the bruise came from me hitting myself on something. Ow,negative,neutral,negative -> neutral
 it`s kind of hard to see a pic of a doggie if the pic doesn`t exist,negative,neutral,negative -> neutral
"Oops, forgot we are having a barbecue at work today! I didn`t need to pack a lunch after all",negative,neutral,negative -> neutral
I wish I could go to E3.  Oh well....,neutral,positive,neutral -> positive
ItS fRiDaY... I cAn`T wAiT tO bE dOnE wItH wOrK!!! Stuck here till 11,negative,neutral,negative -> neutral
 I`m not in America! I`m not going anymore  You phoned earlier?,neutral,negative,neutral -> negative
Victor drew Hannah Montanna in my yearbook.hahaha. I`m going to miss my 2nd per SO much,neutral,negative,neutral -> negative
 we are tooo fly boo,neutral,negative,neutral -> negative
GETTING A PUPPYYY!!!!  What should I name him? I think Romeo is cute.,positive,neutral,positive -> neutral
I`m terrified about the surgery next week,negative,neutral,negative -> neutral
Beautiful morning here in the mountains,positive,neutral,positive -> neutral
Counting the minutes when my dad`s g-friend is leaving,neutral,negative,neutral -> negative
I`m pretty sure Isis has a tapeworm.  So she`s allowed to snuggle with me all she wants tonight.,neutral,positive,neutral -> positive
It`s supposed to be even hotter today than yesterday.  Wearing shorts to work.,neutral,negative,neutral -> negative
"I`ve done nothing today apart from moan,whinge,moan",negative,neutral,negative -> neutral
" haha it`s ok. i really don`t like getting to other businesses so its Ok,",negative,neutral,negative -> neutral
Getting AxKit running on Ubuntu 8.04 is making my head explode.,negative,neutral,negative -> neutral
Feeling smooth like chrome,positive,negative,positive -> negative
 when u do get at me i will show u all the hotspots there is no where i dont kno when it comes to shoppin here lol,positive,neutral,positive -> neutral
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive,negative,positive -> negative
"All this talk of buttershots has me wanting some!  Maybe I`ll have a small bit over ice, I haven`t had any since faire.",neutral,negative,neutral -> negative
"Is about to go in the garden, weeding, mulching, cutting down and anything else that I find to do",neutral,negative,neutral -> negative
What? I focused on Tom so much I didn`t see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,neutral,negative,neutral -> negative
Working 930a-730p today. 1.5 hour lunch..8.5 hours work. Overtime = good. The fact that I`m already dead tired = very bad.,neutral,negative,neutral -> negative
"  We are of like minds this evening , my dear!",neutral,positive,neutral -> positive
@ it hurts me that my sister has so much potential and she isnt using any of it  what a waste of God-given talent.,neutral,negative,neutral -> negative
i should be 'bus stalking' right now..i soo wish i were still meeting  today,neutral,positive,neutral -> positive
"dont worry baby i`ll eat sum cake for the both of us , i`ll hit u up wen i get back. bye, dont eat too much at home",neutral,positive,neutral -> positive
"You want ittt, you got ittt!",positive,neutral,positive -> neutral
Having a light depression. Just payed an extra bill from last years taxes... Must find a country with a tax that is lower than 56%,negative,neutral,negative -> neutral
favorite shirt ruined:death by bleach  #fb,negative,neutral,negative -> neutral
Dancing was alright todayy still doing Jai Ho!!,positive,neutral,positive -> neutral
im contacting PAWS Philippines so i can find 'tiger' a new owner. im so sad. i love my dog soo much,neutral,negative,neutral -> negative
is 99% sober at Brittney`s with Becky and Brit  <3,negative,neutral,negative -> neutral
 awww  well I am here...just in case...I am not like THE PERFECT FUNNY FRIEND but I`m here hehe,neutral,positive,neutral -> positive
"has the urge to go shopping.hmmm but i`ve got no money,how?",negative,neutral,negative -> neutral
not really in the twitter mood today... i don`t know what to do,neutral,negative,neutral -> negative
may the forth be with you,neutral,positive,neutral -> positive
 http://twitpic.com/662vk -  WHY DO U LOT MOCK ME!!!,negative,neutral,negative -> neutral
167 SQL queries to display one single deal page on OzBargain. Looks like I`ll have fun optimising it!  Bad bad Drupal...,positive,negative,positive -> negative
"Bank Holiday Bliss - Jeremy Kyle, without even bothering the Sky+",positive,negative,positive -> negative
Rejecting all food substances.,negative,neutral,negative -> neutral
no school today! that`s greeeeeat!,positive,neutral,positive -> neutral
omg J.O.N.A.S. is my new fave show <3 one guess as to why hahahha,positive,neutral,positive -> neutral
"It`s 6 am, I haven`t been to bed yet, and I just got my second wind.  Guess I should edit or read or something until I feel tired huh?",neutral,negative,neutral -> negative
 then i kill Bradies gf and have Bradie,negative,neutral,negative -> neutral
 boo i`m a week late  how long u in town for?,neutral,negative,neutral -> negative
_paige aww hey! I didn`t know this was you! LOL. I`m sick. No outtie for me.,negative,neutral,negative -> neutral
Off to class .... Longggg day,negative,neutral,negative -> neutral
 gooood we miss you!!  hope you had fun w/the in-laws haha,neutral,positive,neutral -> positive
"Feeling so rough today, just want a cuddle and some sleep",negative,neutral,negative -> neutral
 awww  don`t do this to meee haha now you`re gonna make me saddd,neutral,positive,neutral -> positive
i neeeeeeeed music suggestions but no one will give them,neutral,negative,neutral -> negative
 I dont have no plans Just to go home and watch the Game. Plus I still have to work early so cant be out partying too late,neutral,negative,neutral -> negative
They never cease to amaze me.,positive,neutral,positive -> neutral
"I wonder if she knows how shallow, airy & dumb her tweets make her sound. I guess not b/c if she did...she`d probably stop",negative,neutral,negative -> neutral
Mmmm Ham  Yummy! I have hat hair...Stupid Deli ._.,neutral,negative,neutral -> negative
Burnt from the lake,neutral,negative,neutral -> negative
 too kind Jim too kind brother,positive,neutral,positive -> neutral
  I`m bummed to miss you.   Hope you enjoy your writing conf. tho!,negative,positive,negative -> positive
Jeff & I are looking for long lasting love! Just not with each other we both like Men,positive,neutral,positive -> neutral
" I`ve heard of disgruntled investors, but calling you a 'hoe'? That seems totally out of line",negative,neutral,negative -> neutral
" so wish I was there with ya, but at 6:48am Belgian time I was sleeping...time diff sucks. Take me there!",negative,neutral,negative -> neutral
dangit. LSU w/ a 7-spot in B7 now leads Southern 8-2.  Was intentionally not mentioning anything and it got jinxed anyhow.,negative,neutral,negative -> neutral
Yao is out for the rest of the season! NOOO!..staying home on a Saturday night...SHOCK....got my phone fixed,negative,neutral,negative -> neutral
Playing with my puppy,positive,neutral,positive -> neutral
is off to get the boy and then to his doc. Persistent coughs are not good.  http://plurk.com/p/x285t,negative,neutral,negative -> neutral
"Just got done with my first day of work and is exsausted, sweaty, and chalky.",negative,neutral,negative -> neutral
now going to watch the brand new episode of `The Hills`  cant wait!!,neutral,positive,neutral -> positive
Work around the house  boo,negative,neutral,negative -> neutral
 haha you are just as bad as I am.... Well perhaps a little less retarded . I am attempting to knit myself gloves this winter,neutral,negative,neutral -> negative
 You know we do!,neutral,positive,neutral -> positive
Everyone`s talking about the goodies at #BEA09.  I wanna be there.,positive,neutral,positive -> neutral
IM FEELIN RITE.. THE MOOD FLOR TWITTER AFTER DARK...,neutral,negative,neutral -> negative
 IM SOWWIE I WAS A LIL LATE  LOL it looked good though ;),neutral,positive,neutral -> positive
I`m taking a twitter break. Cell is dying,negative,neutral,negative -> neutral
 My windows open and its not that cold ahahah,positive,negative,positive -> negative
sleep? what`s sleep again? I`ve seem to have forgottten the meaning. too much on my mind. or it`s just my usual insonmia.,neutral,negative,neutral -> negative
 That`s what I like to hear. I am unabashedly not cool. That`s what makes me so cool byw  #logic,neutral,positive,neutral -> positive
 thanx 4 thee follow,positive,neutral,positive -> neutral
 I wasn`t near him.,neutral,negative,neutral -> negative
Slipped up and caught the flu  feeling like poop!,negative,neutral,negative -> neutral
 OHH. haha ok thanks,neutral,positive,neutral -> positive
 darn open source software and it`s security holes,neutral,negative,neutral -> negative
_RachineA oh so you said you good-byes and hugs  my dad left around 4 in the morning so I woke up to an empty house i`m pretty scared.,negative,positive,negative -> positive
Can`t seem to find the new Mountain Dew Throwback in 12 packs....only in 1 liter bottles,neutral,negative,neutral -> negative
 and i have cheese and no chips.,negative,neutral,negative -> neutral
so...i really want to be home right now.,positive,negative,positive -> negative
"Sitting, wondering, & wishing for a bunch of stuff that will never be",neutral,positive,neutral -> positive
Ouch...waited to long to get eyebrows waxed,negative,neutral,negative -> neutral
 I have no idea  I`m watching Rafa too. Running to the comp ever to often to check live score. he`s 3-2 down in the third.,negative,neutral,negative -> neutral
 super stressful day & can`t sleep...glad I found you your so sweet to take the time to make strangers feel good.,neutral,positive,neutral -> positive
"finally gone to the beach, yeaaaah!",positive,neutral,positive -> neutral
My children have promised me birthday brekkie in bed. There`s a problem with that in that there`s bugger all food in the house,negative,neutral,negative -> neutral
Zach G. gets an extensive profile in this weekend`s NY Times Magazine. The chances of us falling in love are getting fewer and fewer.,negative,positive,negative -> positive
 I think the x3 is confusing ;-) can`t believe that many peeps will know that it should be a heart,negative,neutral,negative -> neutral
 i totally owe you a week of on-call duties.  i appreciate not having those while jill is in town,positive,neutral,positive -> neutral
"Allianz interview went well, got a rejection from MOD though  .... going to be a long weekend as I hear from Allianz on Monday",positive,neutral,positive -> neutral
 http://twitpic.com/4jbba - ohhh someone likes to play with their food.... heehee,positive,neutral,positive -> neutral
"And, I`m accumulating money again, so I can use a fancy finance app. Thinking of getting another CD or an IRA.  saving for a house. crazy!",positive,negative,positive -> negative
 pmsl ... We had **** everywhere too. But NO More. Love it. My wool stash today though,neutral,positive,neutral -> positive
omg...did I just see a tweet from Miss Bonnie??? amazing...my phone died yesterday...and oster has alltel  I miss you,neutral,negative,neutral -> negative
counting the minutes until I can go home,negative,neutral,negative -> neutral
" say hi to me, i`m depressed cause i cant see you",negative,neutral,negative -> neutral
just cried all the way through the final episode of ER... and the `previously on ER` documentary about it!,negative,positive,negative -> positive
 How inconsiderate!,negative,neutral,negative -> neutral
good morning twitterworld!  slept too less..,negative,positive,negative -> positive
Aaaah did you see Prez Obama holding hands with his wifey? Soooo romantic even in White House.....,positive,neutral,positive -> neutral
 SS & i r @ the devon horse show. gettin` mostly rained out. lots of events have ben cancelled incl the coaches,neutral,negative,neutral -> negative
Missed the UPS guy again! Ugh so sad  But i got some cool stuff today that i`m super excited about! And looking forward to tonight too,neutral,negative,neutral -> negative
 funny u havent showed me any love yet at all,neutral,positive,neutral -> positive
 shweeeeet!,positive,neutral,positive -> neutral
Bottle of reisling this time... My favorite!,positive,neutral,positive -> neutral
_Doll Yes! I live in Milwaukee and would love to attend a closing talk,positive,neutral,positive -> neutral
can u believe the architect who planned a tar-black promenade in this small town won an international prize?and everyone who walks & jogs,positive,neutral,positive -> neutral
Hey #socialmediatv ugh no way to do video>blah {pouts}   (Social Media TV live > http://ustre.am/2NjV),negative,neutral,negative -> neutral
"The sun is shining brightly and the day has just begun! What`s in store? Wandering around les calanques maybe? Vin, definitely!",positive,neutral,positive -> neutral
Really!,neutral,negative,neutral -> negative
"Double rainbow above the Organs. Pretty, but doesn`t take the edge off my $460 grocery tab.",positive,neutral,positive -> neutral
wants to go out tonight but cant get home,negative,neutral,negative -> neutral
My husband thinks my Twittering makes me a creeper... whatever.,negative,neutral,negative -> neutral
Good morning/afternoon/night to all.....studying as usual!,neutral,positive,neutral -> positive
 lol fine by me  long as its not the scary dude its all good,neutral,positive,neutral -> positive
Another night of not sleeping,neutral,negative,neutral -> negative
 I`m more upset about the fact that 2010 is the last year,negative,positive,negative -> positive
"'Hi Im Jonathan from Spotify, 4 just 9.99 a month u cn have unlimited music w/ no interuptions' But I luv r little chats J, dont leave me",positive,neutral,positive -> neutral
 cool. I`m tempted too see it again  I feel sorry for JB though because there were hardly any people,neutral,negative,neutral -> negative
 I love it. Tell me it didn`t match my shirt perfectly. Can you just not move PLEASE? What am I supposed to do without you?,positive,negative,positive -> negative
Wish i was famous like some of d people im following,neutral,positive,neutral -> positive
" Gleneagles then champagne receptions....can`t beat it! I`m in alone, my tea was rubbish and Ive been doing housework",negative,neutral,negative -> neutral
 i know... I don`t want to be left in our home by myself during the weekend...,negative,neutral,negative -> neutral
"Power Outage, door to freezer propped open, 3G ice cream make for slippy floor  M-er F-er!!",negative,neutral,negative -> neutral
Steam Punlk fashion show at Anime North and for the first year since TorCon we aren`t back til  & missed it,negative,neutral,negative -> neutral
I SO should`ve gone right now!!! *wish I could alter time!!  *,negative,positive,negative -> positive
 you didn`t give out #followfriday advice like i told you?,neutral,negative,neutral -> negative
 and Radio X 96.1 is going all sports next month. Radio is dead.  #grandrapids,negative,neutral,negative -> neutral
http://twitpic.com/4wjai - Joe`s the photographer of the family. Rehearsing is always fun. For the first couple of days it is at least.,positive,neutral,positive -> neutral
I got the ticket dismissed,positive,neutral,positive -> neutral
"_luciano jailbreak went great, just not a tremendous amount of apps ready for 3.0 though. No winterboard yet",positive,neutral,positive -> neutral
"Jason Mraz is still serenading me, while I read 'Judicial Supervision of Executive Action in the Commonwealth Caribbean'.  BBL!",positive,neutral,positive -> neutral
"Nothin better then ridin in a car with your sister while blasting TH, CB and Lady Gaga so loud you cant hear yourself screamin the lyrics",positive,neutral,positive -> neutral
" : Hi, there! I`m sorry for not telling you  Let`s meet up! With _meirizka too. You promised to treat us! XD",neutral,negative,neutral -> negative
_ENVY how come you dont think you did good?!,neutral,positive,neutral -> positive
